COUNTRY,YEAR,PC_DEP
LVA,2001,59.372
LVA,2002,58.76
LVA,2003,63.235
LVA,2004,69.422
LVA,2005,63.841
LVA,2006,66.707
LVA,2007,62.478
LVA,2008,58.825
LVA,2009,60.411
LVA,2010,45.545
LVA,2011,59.863
LVA,2012,56.388
LVA,2013,55.883
LVA,2014,40.592
LVA,2015,51.179
LVA,2016,47.152
LVA,2017,44.053
LVA,2018,44.313
LVA,2019,43.913
LVA,2020,45.481
MDA,2010,77.475
MDA,2011,79.091
MDA,2012,76.133
MDA,2013,76.802
MDA,2014,74.185
MDA,2015,74.932
MDA,2016,73.996
MDA,2017,73.19
MDA,2018,73.807
MDA,2019,76.532
MDA,2020,75.989
MKD,1990,48.415
MKD,1991,49.74
MKD,1992,44.304
MKD,1993,46.344
MKD,1994,34.79
MKD,1995,41.446
MKD,1996,45.109
MKD,1997,42.899
MKD,1998,42.728
MKD,1999,36.391
MKD,2000,40.758
MKD,2001,38.793
MKD,2002,46.368
MKD,2003,39.189
MKD,2004,41.804
MKD,2005,42.761
MKD,2006,44.683
MKD,2007,47.116
MKD,2008,46.304
MKD,2009,45.221
MKD,2010,44.005
MKD,2011,45.62
MKD,2012,48.187
MKD,2013,46.729
MKD,2014,51.55
MKD,2015,52.432
MKD,2016,58.754
MKD,2017,56.186
MKD,2018,58.388
MKD,2019,58.146
MKD,2020,63.291
MLT,1990,100
MLT,1991,107.146
MLT,1992,110.631
MLT,1993,100
MLT,1994,100.404
MLT,1995,103.552
MLT,1996,100
MLT,1997,100
MLT,1998,100
MLT,1999,109.475
MLT,2000,100.246
MLT,2001,99.822
MLT,2002,99.802
MLT,2003,99.826
MLT,2004,99.829
MLT,2005,99.967
MLT,2006,99.962
MLT,2007,99.956
MLT,2008,99.952
MLT,2009,99.926
MLT,2010,99.036
MLT,2011,101.3
MLT,2012,100.973
MLT,2013,104.139
MLT,2014,97.657
MLT,2015,97.296
MLT,2016,101.076
MLT,2017,103.052
MLT,2018,97.527
MLT,2019,97.278
MLT,2020,97.56
MNE,2005,42.477
MNE,2006,44.975
MNE,2007,54.291
MNE,2008,46.208
MNE,2009,43.066
MNE,2010,26.397
MNE,2011,36.219
MNE,2012,34.27
MNE,2013,23.482
MNE,2014,29.917
MNE,2015,30.08
MNE,2016,34.59
MNE,2017,40.486
MNE,2018,31.06
MNE,2019,32.857
MNE,2020,27.422
NLD,1990,23.651
NLD,1991,18.908
NLD,1992,18.974
NLD,1993,17.742
NLD,1994,22.503
NLD,1995,20.762
NLD,1996,17.764
NLD,1997,26.18
NLD,1998,28.952
NLD,1999,31.183
NLD,2000,38.267
NLD,2001,34.403
NLD,2002,35.084
NLD,2003,38.717
NLD,2004,32.149
NLD,2005,37.784
NLD,2006,38.561
NLD,2007,37.407
NLD,2008,33.555
NLD,2009,34.059
NLD,2010,28.279
NLD,2011,29.357
NLD,2012,30.635
NLD,2013,23.739
NLD,2014,30.948
NLD,2015,49.051
NLD,2016,45.958
NLD,2017,51.906
NLD,2018,59.495
NLD,2019,64.304
NLD,2020,68.068
NOR,1990,-435.231
NOR,1991,-479.73
NOR,1992,-533.338
NOR,1993,-526.405
NOR,1994,-602.279
NOR,1995,-640.327
NOR,1996,-756.473
NOR,1997,-731.931
NOR,1998,-676.127
NOR,1999,-653.235
NOR,2000,-723.443
NOR,2001,-716.791
NOR,2002,-801.071
NOR,2003,-739.13
NOR,2004,-702.544
NOR,2005,-661.358
NOR,2006,-627.919
NOR,2007,-648.208
NOR,2008,-564.39
NOR,2009,-572.186
NOR,2010,-512.833
NOR,2011,-575.904
NOR,2012,-530.724
NOR,2013,-471.686
NOR,2014,-559.141
NOR,2015,-575.438
NOR,2016,-611.539
NOR,2017,-593.337
NOR,2018,-554.773
NOR,2019,-567.102
NOR,2020,-623.059
POL,1990,0.854
POL,1991,1.221
POL,1992,1.605
POL,1993,2.622
POL,1994,0.086
POL,1995,-0.191
POL,1996,5.43
POL,1997,6.57
POL,1998,8.526
POL,1999,9.924
POL,2000,10.722
POL,2001,10.45
POL,2002,11.439
POL,2003,13.309
POL,2004,14.727
POL,2005,17.748
POL,2006,20.149
POL,2007,25.79
POL,2008,30.862
POL,2009,32.041
POL,2010,31.569
POL,2011,34.02
POL,2012,31.628
POL,2013,26.254
POL,2014,29.415
POL,2015,29.848
POL,2016,30.76
POL,2017,38.269
POL,2018,43.505
POL,2019,45.237
POL,2020,42.76
PRT,1990,83.571
PRT,1991,82.315
PRT,1992,84.112
PRT,1993,82.652
PRT,1994,81.261
PRT,1995,85.72
PRT,1996,80.751
PRT,1997,84.167
PRT,1998,84.421
PRT,1999,87.781
PRT,2000,85.286
PRT,2001,85.177
PRT,2002,84.162
PRT,2003,85.488
PRT,2004,83.933
PRT,2005,88.561
PRT,2006,83.967
PRT,2007,81.519
PRT,2008,83.623
PRT,2009,81.434
PRT,2010,75.22
PRT,2011,77.792
PRT,2012,79.461
PRT,2013,73.347
PRT,2014,70.234
PRT,2015,76.293
PRT,2016,72.241
PRT,2017,77.965
PRT,2018,75.653
PRT,2019,73.86
PRT,2020,65.261
ROU,1990,35.907
ROU,1991,28.716
ROU,1992,29.565
ROU,1993,27.023
ROU,1994,25.803
ROU,1995,30.86
ROU,1996,31.018
ROU,1997,32.662
ROU,1998,28.935
ROU,1999,21.163
ROU,2000,21.884
ROU,2001,26.272
ROU,2002,24.275
ROU,2003,25.418
ROU,2004,30.036
ROU,2005,27.474
ROU,2006,29.158
ROU,2007,31.46
ROU,2008,27.65
ROU,2009,19.89
ROU,2010,21.386
ROU,2011,21.14
ROU,2012,22.463
ROU,2013,18.317
ROU,2014,16.663
ROU,2015,16.687
ROU,2016,21.901
ROU,2017,23.295
ROU,2018,24.291
ROU,2019,30.282
ROU,2020,28.201
SRB,1990,30.936
SRB,1991,26.653
SRB,1992,20.645
SRB,1993,10.232
SRB,1994,9.549
SRB,1995,10.463
SRB,1996,24.898
SRB,1997,26.959
SRB,1998,24.595
SRB,1999,14.117
SRB,2000,13.877
SRB,2001,23.463
SRB,2002,26.366
SRB,2003,28.617
SRB,2004,33.482
SRB,2005,36.611
SRB,2006,38.232
SRB,2007,36.392
SRB,2008,37.729
SRB,2009,32.256
SRB,2010,33.516
SRB,2011,30.445
SRB,2012,27.94
SRB,2013,24.094
SRB,2014,27.937
SRB,2015,27.693
SRB,2016,29.726
SRB,2017,33.815
SRB,2018,34.64
SRB,2019,35.611
SRB,2020,29.836
SVK,1990,77.071
SVK,1991,72.976
SVK,1992,74.782
SVK,1993,68.893
SVK,1994,68.114
SVK,1995,68.881
SVK,1996,73.197
SVK,1997,72.969
SVK,1998,70.669
SVK,1999,66.162
SVK,2000,65.065
SVK,2001,62.537
SVK,2002,64.476
SVK,2003,64.918
SVK,2004,68.18
SVK,2005,65.99
SVK,2006,64.344
SVK,2007,69.736
SVK,2008,65.842
SVK,2009,67.692
SVK,2010,64.448
SVK,2011,65.933
SVK,2012,61.625
SVK,2013,60.825
SVK,2014,62.135
SVK,2015,60.102
SVK,2016,60.551
SVK,2017,64.845
SVK,2018,63.679
SVK,2019,69.762
SVK,2020,56.329
SVN,1990,45.867
SVN,1991,42.493
SVN,1992,42.006
SVN,1993,48.369
SVN,1994,49.334
SVN,1995,51.018
SVN,1996,55.512
SVN,1997,55.468
SVN,1998,52.525
SVN,1999,55.969
SVN,2000,51.852
SVN,2001,48.94
SVN,2002,49.749
SVN,2003,52.467
SVN,2004,51.379
SVN,2005,50.826
SVN,2006,50.897
SVN,2007,50.821
SVN,2008,53.587
SVN,2009,48.834
SVN,2010,49.277
SVN,2011,48.329
SVN,2012,51.813
SVN,2013,47.461
SVN,2014,45.187
SVN,2015,49.304
SVN,2016,49.017
SVN,2017,50.769
SVN,2018,51.213
SVN,2019,52.116
SVN,2020,45.801
SWE,1990,38.187
SWE,1991,35.713
SWE,1992,37.404
SWE,1993,38.858
